"","decade","ppn cm/d","eref cm/d","uns1.Qroot","uns1.Qsto","uns1.Rch","uns1.State","uns2.Qroot","uns2.Qsto","uns2.Rch","uns2.State","uns3.Qroot","uns3.Qsto","uns3.Rch","uns3.state","Qsat.inf/seepg","Qsat.drainage","Qsat.recharge","Qsat.storage","Qsat.BC"
"202",202,0.037,0.327,-0.278354025437664,0.0179557684882183,0.22258774442753,25.1741411598897,-0.311205446850546,0.169518071291629,0.101211365679438,27.9212362660959,-0.137922700164492,0.16592321735638,-0.0654438210602741,31.098569696585,0.851127883076348,-0.0333478541678184,-1.78571985344996,2.69788758675882,-0.882113146418416
"203",203,0.141,0.401,-0.341070183265299,-0.0468327693529755,0.140364856753023,25.0429954256944,-0.332726724607184,0.0853794413458787,0.105033370968795,27.8526797257032,-0.0827033833004937,0.0259492378259145,-0.0867329201222942,31.070453224905,0.86052943441505,-0.0116888001778428,-0.606419496967734,1.40528076443863,-0.789576446204192
"204",204,0.031,0.34,-0.28978110848051,0.0351522553420037,0.220560603495821,25.045300659251,-0.265810685280121,0.123005500845738,0.108695541681057,27.7932892197043,-0.113236816859466,0.188849686283337,-0.1071952489532,31.0500864823054,0.861575408865014,-0.00949374347135527,-0.985552510362116,1.75033727713744,-0.759636698308858
"205",205,0.077,0.418,-0.356982425216604,0.0320232442297914,0.240499643997451,24.9454259912011,-0.288577859417397,0.0980656365481221,0.111551617944681,27.7325158474833,-0.0956095455655934,0.137559402846344,-0.120022943174203,31.0358932766543,0.872371139392006,-0.00944940021296336,-0.940628662061722,1.54839077109773,-0.603391689342034
"206",206,0.026,0.326,-0.278522113637427,-0.0258750740064795,0.223790859629952,24.8331749737924,-0.17114398002662,0.0294876964901136,0.112942935221007,27.6698417448674,-0.0351034438094905,0.130295634216077,-0.124381940466484,31.0243728067824,0.885434388370674,-0.00941042020608388,-0.706455408792841,1.18350239369137,-0.470927041226011
"207",207,0,0.304,-0.260260961579143,0.0146338148669222,0.256157826913577,24.7531754143505,-0.137840651581865,0.0247521741272098,0.115285113661839,27.6065471135732,-0.00916708520935202,0.125388539158654,-0.123479133265523,31.0128723641668,0.897103777033933,-0.00937407156524694,-1.05589573680871,1.42134632307969,-0.361344812402881
"208",208,0.159,0.255,-0.217750167387237,-0.0604711163383903,0.119400280795455,24.6960341978511,-0.13365142879838,-0.804110583081501,0.107421006406724,27.5420303080638,-0.0650431644469326,0.0230784491345803,-0.119846884126111,30.9998991846701,0.903878547354724,-0.00933621215787052,0.247604623168199,0.202665586395649,-0.440348236935147
"209",209,0.285,0.189,-0.159587264185073,-0.0195891065552121,-0.105417753244299,24.9204804649441,-0.178528037885953,-0.153476764369538,0.0471773696625494,27.5270266790235,-0.130513807379953,-0.0403434924741986,-0.114633693183064,30.9854319911535,0.878308179432578,-0.00931427475337767,2.87926423439476,-1.81784198218848,-1.04373956076217
"210",210,0.382,0.135,-0.11318808685217,-0.11280451730591,-0.164320512004658,25.2887665945617,-0.135336373117482,-0.304984909591512,0.057088865319693,27.5868887689534,-0.113962065191598,-0.159499640453346,-0.10917929983624,30.9705150431254,0.836594647538729,-0.00931482762193695,3.22794216902962,-1.62154203015447,-1.59181346686841
"211",211,0.034,0.164,-0.137593269669941,0.137262914812904,-0.0380090643384313,25.5544982285166,-0.164670404626533,0.0599879537941294,0.0688520488503008,27.6689873624064,-0.14168622692276,0.210385605767815,-0.103321765873238,30.9547484367512,0.802560333599775,-0.00932712958290126,1.79017615256847,-0.0115738938522322,-1.76808207983682
