"","time","ppn cm/d","eref cm/d","uns1.Qroot","uns1.Qsto","uns1.Rch","uns1.State","uns2.Qroot","uns2.Qsto","uns2.Rch","uns2.State","uns3.Qroot","uns3.Qsto","uns3.Rch","uns3.state","Qsat.inf/seepg","Qsat.drainage","Qsat.recharge","Qsat.storage","Qsat.BC"
"60",60,0.46,0.07,-0.0575583271548033,-0.070536796746662,-0.322558702025698,26.3721312214431,-0.0641862043643785,-0.175171649848053,-0.208427928908225,29.1476437959311,-0.0604758285645928,-0.318224755899307,-0.0803285704379658,32.063168611116,0.868811653634027,-3.03819175243588,6.79581393041125,-0.648867139037608,-3.10456005274644
"61",61,0.86,0.04,-0.0326899134370078,-0.341728139246403,-0.468314788992654,26.3733034786527,-0.00958614698965825,-0.60496185620576,-0.229200655008775,29.1780894329095,-0.0345576163226245,-0.745508217200183,-0.080306246994979,32.0629790131573,0.86531524210321,-3.17061804252673,8.38791757249854,-1.97702214614907,-3.23024028922867
"62",62,0.05,0.08,-0.0656302114668512,0.384435585639706,-0.379836154482773,26.3990910286167,-0.0711185308379731,0.257034998821465,-0.252764212184306,29.2190256373116,-0.069115232645249,0.0987886033395609,-0.0802809384386315,32.0628668269143,0.867586403023298,-3.2390307856294,7.78248847276249,-1.34030642829713,-3.19617187623899
"63",63,0.3,0.09,-0.0740261217251149,0.0691768988390191,-0.305789242743606,26.4079065685928,-0.0902550093523663,0.052903470417899,-0.271308356244534,29.2562261191757,-0.0777546367259051,-0.142744275438999,-0.0802524309522542,32.0628461161827,0.87248371644146,-3.26559704375457,7.26389784323925,-0.858393974333658,-3.13503773573136
"64",64,0.33,0.1,-0.0823495719128881,0.0196851914426208,-0.273369962407153,26.4050373127929,-0.100408783308862,0.0467129335489954,-0.283820715969462,29.2906720966117,-0.0863940408065612,-0.163548399267674,-0.0802224286968503,32.0629201275295,0.877866184806332,-3.27644232566529,7.08043368440693,-0.713678386627613,-3.08635052135374
"65",65,0.08,0.08,-0.066046440327411,0.187715701659064,-0.20820007183135,26.3979584562457,-0.0803270266470894,0.274367008880747,-0.290150198471044,29.3218866990498,-0.069115232645249,0.0668780601345311,-0.0801919291673412,32.0630886722528,0.884889374228208,-3.25299871197253,6.52396192041417,-0.26461562335081,-3.00442995373595
"66",66,0.37,0.04,-0.033014376687256,-0.108320017981189,-0.218171809960313,26.3824260736983,-0.0401635133235447,-0.0415613463280611,-0.289285458912106,29.3464954096702,-0.0345576163226245,-0.25502603933321,-0.0801621137263178,32.0633463473453,0.890432768188376,-3.23731899759045,6.60943938907712,-0.398382489974506,-2.97175836572473
"67",67,0.91,0.02,-0.0163933494195427,-0.478290482506887,-0.404353076903842,26.3698603050999,-0.00764465054643802,-0.602053837383681,-0.286359617394006,29.3673615807678,-0.0172788081613122,-0.814771015299259,-0.080133675323781,32.0636858124875,0.887929911704874,-3.33393475018809,8.34843753690977,-1.89485564388703,-3.11181836942538
"68",68,0.08,0.04,-0.0328326318683538,0.310032915789581,-0.367487416147757,26.3884528784168,-0.0377727929554304,0.231720751924291,-0.290557683784276,29.3935600915544,-0.0345576163226245,0.0326835748865123,-0.0801052298199771,32.0641095733486,0.888899035410119,-3.3957447479953,8.03959741878885,-1.51759361763135,-3.12024908842386
"69",69,0,0.15,-0.123838662897342,0.327742280380026,-0.209449236411287,26.3993026127513,-0.150613174963293,0.43254638518584,-0.293947611643152,29.4165571304826,-0.129591061209842,0.208988351887331,-0.0800759359906681,32.0646233216112,0.895923531528116,-3.36462068788641,6.57143621442691,-0.206738700968508,-2.99906860093477
