Date	Precipitation_mm_d	Evaporation_mm_d
20170904	0	2.9
20170905	6.2	1.5
20170906	4.5	1.5
20170907	0.3	1.9
20170908	20.2	0.5
20170909	8.3	1.9
20170910	0	2.3
20170911	1.5	1.9
20170912	1.1	2
20170913	12	1.9
20170914	7.2	1.1
20170915	2	1.9
20170916	0	1.2
20170917	2.9	1.9
20170918	10.8	0.8
20170919	0.1	1.2
20170920	0.1	1.2
20170921	0	2.2
20170922	2.4	1.7
20170923	0	2.3
20170924	0	2.1
20170925	0	1.3
20170926	0	1.4
20170927	0	1.7
20170928	0.6	0.9
20170929	8.5	1.6
20170930	14.6	0.3
20171001	0	1.9
20171002	1.6	1.2
20171003	0.6	1.5
20171004	0.4	0.7
20171005	13.4	1.1
20171006	2.6	1
20171007	9.5	0.3
20171008	1.8	1.2
20171009	0.8	0.9
20171010	1.6	0.5
20171011	0.7	0.5
20171012	0	1.2
20171013	0	1.2
20171014	0	1.7
20171015	0	1.7
20171016	0	1.6
20171017	0	0.8
20171018	0	1.4
20171019	0	1.3
20171020	4.9	0.7
